Column Name,Description,Data Type,Allowed Values,Data Coding
ch105_7,Child 7 child of former relationship of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch105_8,Child 8 child of former relationship of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch105_9,Child 9 child of former relationship of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch105_10,Child 10 child of former relationship of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch105_11,Child 11 child of former relationship of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch105_12,Child 12 child of former relationship of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch105_13,Child 13 child of former relationship of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch105_14,Child 14 child of former relationship of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch105_15,Child 15 child of former relationship of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch105_16,Child 16 child of former relationship of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch105_17,Child 17 child of former relationship of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch105_18,Child 18 child of former relationship of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch105_19,Child 19 child of former relationship of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch105_20,Child 20 child of former relationship of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch106_1,Child 1 adopted child of R,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch106_2,Child 2 adopted child of R,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch106_3,Child 3 adopted child of R,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch106_4,Child 4 adopted child of R,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch106_5,Child 5 adopted child of R,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch106_6,Child 6 adopted child of R,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch106_7,Child 7 adopted child of R,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch106_8,Child 8 adopted child of R,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch106_9,Child 9 adopted child of R,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch106_10,Child 10 adopted child of R,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch106_11,Child 11 adopted child of R,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch106_12,Child 12 adopted child of R,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch106_13,Child 13 adopted child of R,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch106_14,Child 14 adopted child of R,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch106_15,Child 15 adopted child of R,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch106_16,Child 16 adopted child of R,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch106_17,Child 17 adopted child of R,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch106_18,Child 18 adopted child of R,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch106_19,Child 19 adopted child of R,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch106_20,Child 20 adopted child of R,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch107_1,Child 1 adopted child of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch107_2,Child 2 adopted child of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch107_3,Child 3 adopted child of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch107_4,Child 4 adopted child of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch107_5,Child 5 adopted child of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch107_6,Child 6 adopted child of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch107_7,Child 7 adopted child of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch107_8,Child 8 adopted child of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch107_9,Child 9 adopted child of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch107_10,Child 10 adopted child of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch107_11,Child 11 adopted child of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch107_12,Child 12 adopted child of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch107_13,Child 13 adopted child of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch107_14,Child 14 adopted child of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch107_15,Child 15 adopted child of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch107_16,Child 16 adopted child of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch107_17,Child 17 adopted child of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch107_18,Child 18 adopted child of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch107_19,Child 19 adopted child of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch107_20,Child 20 adopted child of current spouse/partner,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch108_1,Child 1 is a foster child,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch108_2,Child 2 is a foster child,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch108_3,Child 3 is a foster child,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch108_4,Child 4 is a foster child,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch108_5,Child 5 is a foster child,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch108_6,Child 6 is a foster child,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch108_7,Child 7 is a foster child,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch108_8,Child 8 is a foster child,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch108_9,Child 9 is a foster child,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch108_10,Child 10 is a foster child,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch108_11,Child 11 is a foster child,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch108_12,Child 12 is a foster child,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch108_13,Child 13 is a foster child,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch108_14,Child 14 is a foster child,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch108_15,Child 15 is a foster child,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch108_16,Child 16 is a foster child,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch108_17,Child 17 is a foster child,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch108_18,Child 18 is a foster child,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch108_19,Child 19 is a foster child,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch108_20,Child 20 is a foster child,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch302_,All children are natural children,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch303d1,Child 1 common natural child of R and current spouse/partner,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch303d2,Child 2 common natural child of R and current spouse/partner,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch303d3,Child 3 common natural child of R and current spouse/partner,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch303d4,Child 4 common natural child of R and current spouse/partner,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch303d5,Child 5 common natural child of R and current spouse/partner,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch303d6,Child 6 common natural child of R and current spouse/partner,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch303d7,Child 7 common natural child of R and current spouse/partner,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch303d8,Child 8 common natural child of R and current spouse/partner,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch303d9,Child 9 common natural child of R and current spouse/partner,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch303d10,Child 10 common natural child of R and current spouse/partner,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch303d11,Child 11 common natural child of R and current spouse/partner,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch303d12,Child 12 common natural child of R and current spouse/partner,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch303d13,Child 13 common natural child of R and current spouse/partner,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch303d14,Child 14 common natural child of R and current spouse/partner,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch303d15,Child 15 common natural child of R and current spouse/partner,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch303d16,Child 16 common natural child of R and current spouse/partner,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch303d17,Child 17 common natural child of R and current spouse/partner,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch303d18,Child 18 common natural child of R and current spouse/partner,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch303d19,Child 19 common natural child of R and current spouse/partner,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch303d20,Child 20 common natural child of R and current spouse/partner,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch505_1,Child 1 equal to which child,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21",-2=Refusal; -1=Don't know; 1=Child 1; 2=Child 2; 3=Child 3; 4=Child 4; 5=Child 5; 6=Child 6; 7=Child 7; 8=Child 8; 9=Child 9; 10=Child 10; 11=Child 11; 12=Child 12; 13=Child 13; 14=Child 14; 15=Child 15; 16=Child 16; 17=Child 17; 18=Child 18; 19=Child 19; 20=Child 20; 21=Child 21
ch505_2,Child 2 equal to which child,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21",-2=Refusal; -1=Don't know; 1=Child 1; 2=Child 2; 3=Child 3; 4=Child 4; 5=Child 5; 6=Child 6; 7=Child 7; 8=Child 8; 9=Child 9; 10=Child 10; 11=Child 11; 12=Child 12; 13=Child 13; 14=Child 14; 15=Child 15; 16=Child 16; 17=Child 17; 18=Child 18; 19=Child 19; 20=Child 20; 21=Child 21
ch505_3,Child 3 equal to which child,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21",-2=Refusal; -1=Don't know; 1=Child 1; 2=Child 2; 3=Child 3; 4=Child 4; 5=Child 5; 6=Child 6; 7=Child 7; 8=Child 8; 9=Child 9; 10=Child 10; 11=Child 11; 12=Child 12; 13=Child 13; 14=Child 14; 15=Child 15; 16=Child 16; 17=Child 17; 18=Child 18; 19=Child 19; 20=Child 20; 21=Child 21
ch505_4,Child 4 equal to which child,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21",-2=Refusal; -1=Don't know; 1=Child 1; 2=Child 2; 3=Child 3; 4=Child 4; 5=Child 5; 6=Child 6; 7=Child 7; 8=Child 8; 9=Child 9; 10=Child 10; 11=Child 11; 12=Child 12; 13=Child 13; 14=Child 14; 15=Child 15; 16=Child 16; 17=Child 17; 18=Child 18; 19=Child 19; 20=Child 20; 21=Child 21
ch505_5,Child 5 equal to which child,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21",-2=Refusal; -1=Don't know; 1=Child 1; 2=Child 2; 3=Child 3; 4=Child 4; 5=Child 5; 6=Child 6; 7=Child 7; 8=Child 8; 9=Child 9; 10=Child 10; 11=Child 11; 12=Child 12; 13=Child 13; 14=Child 14; 15=Child 15; 16=Child 16; 17=Child 17; 18=Child 18; 19=Child 19; 20=Child 20; 21=Child 21
ch505_6,Child 6 equal to which child,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21",-2=Refusal; -1=Don't know; 1=Child 1; 2=Child 2; 3=Child 3; 4=Child 4; 5=Child 5; 6=Child 6; 7=Child 7; 8=Child 8; 9=Child 9; 10=Child 10; 11=Child 11; 12=Child 12; 13=Child 13; 14=Child 14; 15=Child 15; 16=Child 16; 17=Child 17; 18=Child 18; 19=Child 19; 20=Child 20; 21=Child 21
ch505_7,Child 7 equal to which child,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21",-2=Refusal; -1=Don't know; 1=Child 1; 2=Child 2; 3=Child 3; 4=Child 4; 5=Child 5; 6=Child 6; 7=Child 7; 8=Child 8; 9=Child 9; 10=Child 10; 11=Child 11; 12=Child 12; 13=Child 13; 14=Child 14; 15=Child 15; 16=Child 16; 17=Child 17; 18=Child 18; 19=Child 19; 20=Child 20; 21=Child 21
ch505_8,Child 8 equal to which child,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21",-2=Refusal; -1=Don't know; 1=Child 1; 2=Child 2; 3=Child 3; 4=Child 4; 5=Child 5; 6=Child 6; 7=Child 7; 8=Child 8; 9=Child 9; 10=Child 10; 11=Child 11; 12=Child 12; 13=Child 13; 14=Child 14; 15=Child 15; 16=Child 16; 17=Child 17; 18=Child 18; 19=Child 19; 20=Child 20; 21=Child 21
ch505_9,Child 9 equal to which child,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21",-2=Refusal; -1=Don't know; 1=Child 1; 2=Child 2; 3=Child 3; 4=Child 4; 5=Child 5; 6=Child 6; 7=Child 7; 8=Child 8; 9=Child 9; 10=Child 10; 11=Child 11; 12=Child 12; 13=Child 13; 14=Child 14; 15=Child 15; 16=Child 16; 17=Child 17; 18=Child 18; 19=Child 19; 20=Child 20; 21=Child 21
ch505_10,Child 10 equal to which child,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21",-2=Refusal; -1=Don't know; 1=Child 1; 2=Child 2; 3=Child 3; 4=Child 4; 5=Child 5; 6=Child 6; 7=Child 7; 8=Child 8; 9=Child 9; 10=Child 10; 11=Child 11; 12=Child 12; 13=Child 13; 14=Child 14; 15=Child 15; 16=Child 16; 17=Child 17; 18=Child 18; 19=Child 19; 20=Child 20; 21=Child 21
ch505_11,Child 11 equal to which child,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21",-2=Refusal; -1=Don't know; 1=Child 1; 2=Child 2; 3=Child 3; 4=Child 4; 5=Child 5; 6=Child 6; 7=Child 7; 8=Child 8; 9=Child 9; 10=Child 10; 11=Child 11; 12=Child 12; 13=Child 13; 14=Child 14; 15=Child 15; 16=Child 16; 17=Child 17; 18=Child 18; 19=Child 19; 20=Child 20; 21=Child 21
ch505_12,Child 12 equal to which child,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21",-2=Refusal; -1=Don't know; 1=Child 1; 2=Child 2; 3=Child 3; 4=Child 4; 5=Child 5; 6=Child 6; 7=Child 7; 8=Child 8; 9=Child 9; 10=Child 10; 11=Child 11; 12=Child 12; 13=Child 13; 14=Child 14; 15=Child 15; 16=Child 16; 17=Child 17; 18=Child 18; 19=Child 19; 20=Child 20; 21=Child 21
ch505_13,Child 13 equal to which child,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21",-2=Refusal; -1=Don't know; 1=Child 1; 2=Child 2; 3=Child 3; 4=Child 4; 5=Child 5; 6=Child 6; 7=Child 7; 8=Child 8; 9=Child 9; 10=Child 10; 11=Child 11; 12=Child 12; 13=Child 13; 14=Child 14; 15=Child 15; 16=Child 16; 17=Child 17; 18=Child 18; 19=Child 19; 20=Child 20; 21=Child 21
ch505_14,Child 14 equal to which child,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21",-2=Refusal; -1=Don't know; 1=Child 1; 2=Child 2; 3=Child 3; 4=Child 4; 5=Child 5; 6=Child 6; 7=Child 7; 8=Child 8; 9=Child 9; 10=Child 10; 11=Child 11; 12=Child 12; 13=Child 13; 14=Child 14; 15=Child 15; 16=Child 16; 17=Child 17; 18=Child 18; 19=Child 19; 20=Child 20; 21=Child 21
ch505_15,Child 15 equal to which child,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21",-2=Refusal; -1=Don't know; 1=Child 1; 2=Child 2; 3=Child 3; 4=Child 4; 5=Child 5; 6=Child 6; 7=Child 7; 8=Child 8; 9=Child 9; 10=Child 10; 11=Child 11; 12=Child 12; 13=Child 13; 14=Child 14; 15=Child 15; 16=Child 16; 17=Child 17; 18=Child 18; 19=Child 19; 20=Child 20; 21=Child 21
ch505_16,Child 16 equal to which child,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21",-2=Refusal; -1=Don't know; 1=Child 1; 2=Child 2; 3=Child 3; 4=Child 4; 5=Child 5; 6=Child 6; 7=Child 7; 8=Child 8; 9=Child 9; 10=Child 10; 11=Child 11; 12=Child 12; 13=Child 13; 14=Child 14; 15=Child 15; 16=Child 16; 17=Child 17; 18=Child 18; 19=Child 19; 20=Child 20; 21=Child 21
ch505_17,Child 17 equal to which child,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21",-2=Refusal; -1=Don't know; 1=Child 1; 2=Child 2; 3=Child 3; 4=Child 4; 5=Child 5; 6=Child 6; 7=Child 7; 8=Child 8; 9=Child 9; 10=Child 10; 11=Child 11; 12=Child 12; 13=Child 13; 14=Child 14; 15=Child 15; 16=Child 16; 17=Child 17; 18=Child 18; 19=Child 19; 20=Child 20; 21=Child 21
ch505_18,Child 18 equal to which child,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21",-2=Refusal; -1=Don't know; 1=Child 1; 2=Child 2; 3=Child 3; 4=Child 4; 5=Child 5; 6=Child 6; 7=Child 7; 8=Child 8; 9=Child 9; 10=Child 10; 11=Child 11; 12=Child 12; 13=Child 13; 14=Child 14; 15=Child 15; 16=Child 16; 17=Child 17; 18=Child 18; 19=Child 19; 20=Child 20; 21=Child 21
ch505_19,Child 19 equal to which child,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21",-2=Refusal; -1=Don't know; 1=Child 1; 2=Child 2; 3=Child 3; 4=Child 4; 5=Child 5; 6=Child 6; 7=Child 7; 8=Child 8; 9=Child 9; 10=Child 10; 11=Child 11; 12=Child 12; 13=Child 13; 14=Child 14; 15=Child 15; 16=Child 16; 17=Child 17; 18=Child 18; 19=Child 19; 20=Child 20; 21=Child 21
ch505_20,Child 20 equal to which child,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21",-2=Refusal; -1=Don't know; 1=Child 1; 2=Child 2; 3=Child 3; 4=Child 4; 5=Child 5; 6=Child 6; 7=Child 7; 8=Child 8; 9=Child 9; 10=Child 10; 11=Child 11; 12=Child 12; 13=Child 13; 14=Child 14; 15=Child 15; 16=Child 16; 17=Child 17; 18=Child 18; 19=Child 19; 20=Child 20; 21=Child 21
ch508_,Check children education changed,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ch509d1,Child 1 education changed,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch509d2,Child 2 education changed,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch509d3,Child 3 education changed,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch509d4,Child 4 education changed,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch509d5,Child 5 education changed,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch509d6,Child 6 education changed,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch509d7,Child 7 education changed,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch509d8,Child 8 education changed,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch509d9,Child 9 education changed,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch509d10,Child 10 education changed,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch509d11,Child 11 education changed,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch509d12,Child 12 education changed,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch509d13,Child 13 education changed,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch509d14,Child 14 education changed,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch509d15,Child 15 education changed,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch509d16,Child 16 education changed,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch509d17,Child 17 education changed,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch509d18,Child 18 education changed,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch509d19,Child 19 education changed,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch509d20,Child 20 education changed,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ch510_1,Child 1 new educational degree,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 95, 96, 97",-2=Refusal; -1=Don't know; 1=Education country-specific category 1; 2=Education country-specific category 2; 3=Education country-specific category 3; 4=Education country-specific category 4; 5=Education country-specific category 5; 6=Education country-specific category 6; 7=Education country-specific category 7; 8=Education country-specific category 8; 9=Education country-specific category 9; 10=Education country-specific category 10; 11=Education country-specific category 11; 12=Education country-specific category 12; 13=Education country-specific category 13; 14=Education country-specific category 14; 15=Education country-specific category 15; 16=Education country-specific category 16; 17=Education country-specific category 17; 18=Education country-specific category 18; 19=Education country-specific category 19; 20=Education country-specific category 20; 21=Education country-specific category 21; 22=Education country-specific category 22; 23=Education country-specific category 23; 24=Education country-specific category 24; 25=Education country-specific category 25; 95=No degree yet/still in school; 96=None; 97=Other type (also abroad)
